Total_Transactions,Total_Amount,Average_Amount,Maximum_Amount,Minimum_Amount
5,2904.99,580.9979999999999,1143.67,38.15
4,1795.2,448.8,726.61,224.19
4,700.68,175.17,353.59,50.52
7,2136.54,305.21999999999997,567.71,1.87
8,2357.68,294.71,841.28,1.21
9,2953.1,328.1222222222222,736.73,16.16
5,879.11,175.822,446.1,66.9
6,3819.73,636.6216666666667,1831.02,204.63
1,108.96,108.96,108.96,108.96
5,1447.3,289.46,800.55,22.15
8,3553.6099999999997,444.20124999999996,870.05,67.57
6,1635.97,272.6616666666667,637.34,55.12
4,1021.61,255.4025,484.24,73.19
6,1454.4099999999999,242.40166666666664,868.05,21.41
2,456.83000000000004,228.41500000000002,257.6,199.23
5,953.1800000000001,190.63600000000002,343.86,36.63
5,554.78,110.95599999999999,220.41,13.71
5,1510.07,302.014,555.71,13.3
5,1104.1399999999999,220.82799999999997,602.8,15.74
3,511.29999999999995,170.4333333333333,372.08,56.15
4,2250.17,562.5425,788.84,332.0
2,531.48,265.74,435.98,95.5
5,944.42,188.884,361.38,36.71
2,978.6600000000001,489.33000000000004,584.98,393.68
6,2027.38,337.8966666666667,874.72,3.8
4,602.33,150.5825,318.92,25.77
2,1067.8200000000002,533.9100000000001,561.58,506.24
1,7.08,7.08,7.08,7.08
7,1547.47,221.06714285714287,697.32,12.23
5,1035.32,207.064,384.1,14.26
12,3722.12,310.1766666666667,649.28,5.66
6,2741.2799999999997,456.87999999999994,1001.83,56.31
7,2658.75,379.82142857142856,752.69,54.85
4,1658.0099999999998,414.50249999999994,1294.81,26.3
2,510.91,255.455,436.8,74.11
2,258.82,129.41,220.68,38.14
4,2470.8399999999997,617.7099999999999,1241.05,195.12
5,1377.83,275.566,428.61,167.47
4,1043.15,260.7875,343.88,123.85
4,1989.56,497.39,917.81,224.73
3,936.99,312.33,608.79,163.68
6,1576.72,262.7866666666667,777.92,66.58
2,215.44,107.72,114.1,101.34
5,961.87,192.374,588.54,1.98
5,1347.03,269.406,624.0,60.96
6,1395.58,232.59666666666666,1074.95,20.27
7,1823.24,260.46285714285716,494.96,77.03
10,1428.99,142.899,408.46,13.87
6,2551.05,425.175,1360.01,38.41
1,170.24,170.24,170.24,170.24
4,1645.99,411.4975,918.95,64.3
2,822.4,411.2,810.36,12.04
2,480.7,240.35,302.76,177.94
11,2926.3,266.02727272727276,615.16,39.48
5,1642.8799999999999,328.57599999999996,997.37,28.04
8,2509.8999999999996,313.73749999999995,1079.11,11.06
5,1103.31,220.66199999999998,507.25,17.21
3,1356.75,452.25,697.82,74.11
5,1587.27,317.454,776.21,26.31
5,1310.56,262.11199999999997,703.89,25.77
6,814.72,135.78666666666666,445.79,5.81
7,1353.3000000000002,193.32857142857145,545.87,5.12
6,2072.3999999999996,345.3999999999999,922.55,0.32
5,1829.65,365.93,885.33,72.75
1,335.68,335.68,335.68,335.68
5,1036.1399999999999,207.22799999999998,302.63,99.16
2,1501.3200000000002,750.6600000000001,1151.18,350.14
9,1742.71,193.63444444444445,440.43,25.32
9,1309.69,145.5211111111111,411.72,18.68
4,729.82,182.455,388.98,14.92
5,1826.25,365.25,737.1,21.13
6,1061.5,176.91666666666666,331.22,42.58
5,643.6400000000001,128.728,290.86,3.65
7,1156.44,165.2057142857143,414.77,10.77
7,2180.5699999999997,311.50999999999993,746.78,26.1
5,602.1800000000001,120.436,304.93,18.41
2,993.23,496.615,840.16,153.07
4,2770.84,692.71,1026.46,426.93
2,1501.57,750.785,1169.59,331.98
6,3093.84,515.64,842.01,20.05
6,1203.99,200.665,508.16,32.46
3,1079.9,359.9666666666667,588.36,137.86
3,1258.39,419.46333333333337,584.88,166.68
11,3410.02,310.0018181818182,963.77,18.23
7,1599.6,228.5142857142857,630.36,66.69
3,612.27,204.09,373.99,35.94
4,521.0,130.25,249.34,79.21
8,1161.03,145.12875,508.73,1.41
5,2352.36,470.47200000000004,1096.7,71.53
5,1550.8400000000001,310.168,675.37,53.83
6,2647.53,441.25500000000005,781.76,101.52
9,3953.6,439.2888888888889,1212.51,91.9
4,614.13,153.5325,452.8,11.3
10,2003.11,200.31099999999998,796.3,10.31
4,1847.96,461.99,1454.52,78.77
3,459.61,153.20333333333335,177.05,114.03
2,672.29,336.145,465.45,206.84
5,711.53,142.30599999999998,346.76,36.76
8,2341.84,292.73,758.77,20.54
4,2390.7,597.675,1431.33,30.48
5,1330.3600000000001,266.072,775.23,17.42
9,1959.8000000000002,217.7555555555556,547.98,27.44
5,1471.1399999999999,294.22799999999995,642.53,20.22
3,1325.31,441.77,736.32,118.69
3,838.03,279.3433333333333,425.18,121.17
9,2123.0,235.88888888888889,856.9,15.81
5,1738.31,347.662,672.74,19.76
4,1152.11,288.0275,501.15,36.09
6,1785.78,297.63,959.48,24.77
1,77.9,77.9,77.9,77.9
8,3533.35,441.66875,1036.21,84.28
7,2836.57,405.2242857142857,1221.65,71.48
6,544.04,90.67333333333333,233.24,7.79
2,641.77,320.885,568.76,73.01
3,1188.25,396.0833333333333,881.32,23.7
3,1039.22,346.4066666666667,651.55,93.82
4,1890.8600000000001,472.71500000000003,1413.24,41.93
7,2828.13,404.0185714285714,1152.58,36.57
7,1954.23,279.17571428571426,712.75,23.01
4,311.78,77.945,131.46,46.23
4,1265.9299999999998,316.48249999999996,344.27,264.14
6,1499.41,249.90166666666667,451.35,53.57
4,1556.3899999999999,389.09749999999997,626.9,48.85
10,2733.73,273.373,856.21,33.61
7,920.37,131.48142857142858,260.88,10.52
4,482.93,120.7325,217.5,23.71
5,856.51,171.302,415.88,63.41
6,2381.6,396.93333333333334,845.14,23.23
4,1906.67,476.6675,865.17,50.63
6,2989.45,498.2416666666666,1512.99,24.56
11,3651.8,331.9818181818182,1154.79,37.7
6,1382.87,230.47833333333332,637.48,14.08
6,1319.18,219.86333333333334,468.32,9.18
3,613.78,204.59333333333333,312.88,81.27
2,484.46000000000004,242.23000000000002,330.91,153.55
1,52.04,52.04,52.04,52.04
7,3079.8399999999997,439.97714285714284,832.3,64.92
6,1747.69,291.2816666666667,629.82,18.1
4,1958.92,489.73,1510.71,7.31
3,743.6999999999999,247.89999999999998,660.02,27.51
4,943.04,235.76,486.59,65.09
5,1008.0600000000001,201.61200000000002,459.25,75.43
6,3437.56,572.9266666666666,1392.54,22.63
7,3032.5499999999997,433.22142857142853,864.72,13.48
5,2014.68,402.93600000000004,946.94,109.3
5,1668.43,333.68600000000004,542.75,60.99
5,1678.2600000000002,335.65200000000004,1036.66,20.64
2,458.71999999999997,229.35999999999999,399.21,59.51
9,3066.67,340.74111111111114,802.89,43.73
4,1280.0,320.0,820.15,43.88
5,1033.69,206.738,410.49,0.45
5,1658.28,331.656,601.4,56.52
5,1191.04,238.208,432.18,6.3
6,2757.33,459.555,1225.5,11.81
5,753.73,150.746,378.68,3.8
9,1984.6200000000001,220.51333333333335,542.72,0.86
4,866.6700000000001,216.66750000000002,386.97,42.42
7,2331.31,333.0442857142857,1045.45,58.32
8,2359.61,294.95125,506.28,93.63
3,536.54,178.84666666666666,415.5,1.93
3,849.01,283.00333333333333,378.2,178.43
2,343.19,171.595,315.94,27.25
4,2126.4700000000003,531.6175000000001,1168.26,170.26
8,4393.41,549.17625,880.04,96.25
7,2905.38,415.05428571428575,1612.37,12.82
9,2508.6800000000003,278.74222222222227,675.49,17.95
3,769.73,256.57666666666665,432.63,5.04
5,504.45,100.89,184.56,17.43
3,629.39,209.79666666666665,331.38,92.36
4,2291.6800000000003,572.9200000000001,1353.93,46.11
9,2827.25,314.1388888888889,889.01,16.73
1,180.46,180.46,180.46,180.46
3,784.52,261.50666666666666,411.47,137.84
4,1444.96,361.24,858.63,46.96
6,1038.09,173.015,381.33,1.14
2,1815.84,907.92,1496.57,319.27
2,295.41,147.705,203.12,92.29
4,779.3,194.825,349.34,29.94
5,383.75,76.75,151.37,7.61
5,2087.7200000000003,417.54400000000004,1162.42,109.28
3,916.01,305.33666666666664,322.48,275.59
8,2583.27,322.90875,862.34,8.75
6,1840.35,306.72499999999997,806.97,54.47
8,3600.43,450.05375,1762.28,17.79
6,2079.23,346.53833333333336,877.81,20.06
6,1934.23,322.37166666666667,767.14,46.75
2,240.95,120.475,126.6,114.35
12,2991.32,249.27666666666667,717.74,45.77
12,4702.91,391.90916666666664,1362.55,3.3
1,143.54,143.54,143.54,143.54
5,989.87,197.974,280.99,47.6
8,3043.79,380.47375,1108.46,83.16
7,1635.3000000000002,233.61428571428573,490.82,28.31
4,1144.0,286.0,389.05,35.46
6,2280.04,380.00666666666666,793.88,11.02
7,2410.87,344.40999999999997,821.54,78.93
2,328.65,164.325,321.15,7.5
3,2041.83,680.61,986.81,218.57
9,2001.19,222.35444444444445,568.07,14.16
6,1337.45,222.90833333333333,516.72,51.2
3,979.26,326.42,506.26,147.4
3,625.4300000000001,208.4766666666667,308.42,103.76
4,1188.67,297.1675,577.12,32.34
6,1977.91,329.6516666666667,981.76,4.58
2,741.48,370.74,732.53,8.95
6,1176.67,196.11166666666668,560.15,17.1
3,890.7,296.90000000000003,475.36,23.38
6,2327.19,387.865,1427.71,98.81
4,555.0200000000001,138.75500000000002,256.3,38.95
7,2562.23,366.03285714285715,876.57,16.53
7,4141.2,591.6,1431.54,136.88
8,1743.57,217.94625,663.45,39.69
3,715.35,238.45000000000002,362.04,58.7
2,1279.61,639.805,1030.85,248.76
3,936.36,312.12,557.26,131.93
7,1127.57,161.08142857142857,583.3,16.79
3,467.81,155.93666666666667,328.39,7.86
3,864.3399999999999,288.1133333333333,494.52,34.93
8,1673.6499999999999,209.20624999999998,392.05,28.38
7,1680.77,240.10999999999999,519.62,33.06
3,952.25,317.4166666666667,391.66,189.12
8,3286.7,410.8375,1422.55,76.21
7,1853.92,264.8457142857143,756.59,18.3
7,2860.1800000000003,408.5971428571429,1159.39,142.78
5,1205.73,241.14600000000002,556.04,16.52
5,814.56,162.91199999999998,347.63,64.58
6,1661.53,276.9216666666667,523.74,11.67
4,1314.84,328.71,770.65,75.77
8,980.5699999999999,122.57124999999999,395.27,6.0
4,349.65,87.4125,127.78,63.98
6,2566.05,427.675,997.43,109.43
1,183.71,183.71,183.71,183.71
7,2718.1,388.3,872.72,43.1
2,556.38,278.19,308.23,248.15
5,1314.6999999999998,262.93999999999994,568.68,76.02
5,1578.01,315.602,704.69,124.98
6,1684.78,280.7966666666667,826.23,11.86
4,1143.54,285.885,438.59,69.8
4,1441.11,360.2775,854.64,98.95
3,942.23,314.07666666666665,485.51,36.12
3,108.16999999999999,36.056666666666665,69.38,4.72
5,2543.88,508.776,1360.67,28.73
5,771.68,154.33599999999998,361.27,6.03
6,1718.02,286.33666666666664,1047.69,25.94
3,841.8199999999999,280.6066666666666,451.7,104.63
4,1791.58,447.895,1021.16,62.86
3,664.12,221.37333333333333,328.47,93.26
4,572.95,143.2375,235.42,80.24
6,3038.14,506.3566666666666,1919.11,44.52
5,1212.02,242.404,535.91,56.02
7,2487.14,355.30571428571426,644.17,157.16
6,1494.1599999999999,249.02666666666664,668.78,98.41
9,2397.55,266.39444444444445,926.53,43.46
3,1727.94,575.98,1116.57,141.91
3,279.33,93.11,199.7,25.38
7,1473.01,210.43,705.6,5.25
7,2750.4500000000003,392.92142857142863,1235.69,64.21
7,1673.96,239.13714285714286,537.71,11.09
3,1697.3,565.7666666666667,1282.86,120.9
7,1799.1,257.0142857142857,870.43,5.77
2,429.59000000000003,214.79500000000002,357.72,71.87
5,1034.87,206.974,329.4,83.39
4,922.17,230.5425,498.67,7.95
8,1325.53,165.69125,568.52,9.61
9,4185.8099999999995,465.0899999999999,903.19,138.95
1,201.69,201.69,201.69,201.69
6,1907.69,317.9483333333333,800.29,51.25
9,1679.32,186.5911111111111,496.03,12.18
4,2585.12,646.28,1076.98,299.09
4,496.37,124.0925,226.66,29.34
5,1787.5,357.5,671.73,77.02
5,1036.44,207.288,662.11,29.72
4,633.1,158.275,211.69,50.4
7,1177.86,168.26571428571427,590.26,23.3
5,796.4799999999999,159.296,341.84,10.65
3,920.89,306.9633333333333,654.48,57.38
5,1536.38,307.276,743.24,11.92
7,1371.72,195.96,778.49,30.87
9,2370.7000000000003,263.41111111111115,521.15,109.91
4,1976.73,494.1825,1176.28,124.84
7,2132.36,304.6228571428572,787.41,101.23
11,3090.6000000000004,280.9636363636364,1022.75,3.85
3,784.78,261.5933333333333,406.12,121.71
7,1544.96,220.70857142857145,633.87,5.71
7,1513.57,216.2242857142857,414.49,11.04
12,5570.34,464.195,1607.55,0.84
3,503.19999999999993,167.73333333333332,350.46,35.46
6,494.2,82.36666666666666,184.51,17.67
4,479.56,119.89,308.68,7.76
8,2702.17,337.77125,1431.3,14.0
8,1502.65,187.83125,737.34,21.23
4,2635.9700000000003,658.9925000000001,1342.25,61.43
3,1202.19,400.73,639.57,105.53
4,445.52000000000004,111.38000000000001,253.55,2.5
1,65.57,65.57,65.57,65.57
4,1705.08,426.27,790.07,170.97
6,1769.45,294.90833333333336,436.64,22.01
1,588.37,588.37,588.37,588.37
1,57.16,57.16,57.16,57.16
3,1126.97,375.6566666666667,777.88,119.01
8,967.23,120.90375,295.64,7.48
1,506.81,506.81,506.81,506.81
3,1019.03,339.6766666666667,724.18,95.83
7,3046.3,435.1857142857143,795.31,126.21
4,1369.76,342.44,859.3,22.26
11,3309.5,300.8636363636364,1087.9,34.02
4,607.94,151.985,327.8,5.29
6,1594.03,265.6716666666667,686.17,15.95
4,1605.72,401.43,615.58,150.3
2,680.99,340.495,617.66,63.33
1,282.26,282.26,282.26,282.26
4,480.52,120.13,278.28,9.83
4,1086.77,271.6925,744.41,4.24
3,397.8,132.6,209.09,21.27
5,1460.92,292.184,635.91,48.05
1,37.57,37.57,37.57,37.57
5,789.24,157.848,369.89,28.53
5,593.13,118.626,218.07,14.29
4,1873.41,468.3525,1142.76,8.45
8,2405.77,300.72125,745.03,24.34
3,595.88,198.62666666666667,342.57,58.94
6,1187.21,197.86833333333334,333.83,8.37
8,3051.02,381.3775,1095.09,5.77
7,2321.29,331.61285714285714,837.29,40.03
4,646.96,161.74,225.93,129.62
